,innings,second_innings_notouts,first_innings_notouts,combined_notouts,balls_faced,total_runs,highest_score,average,strike_rate,50s,100s,30s,6s,4s,runs_scored_in_pp,balls_faced_in_pp,innings_pp,notouts_pp,runs_scored_in_mo,balls_faced_in_mo,innings_mo,notouts_mo,runs_scored_in_death,balls_faced_in_death,innings_death,notouts_death,runs_scored_in_first_innings,balls_faced_in_first_innings,innings_first,notouts_first,runs_scored_in_second_innings,balls_faced_in_second_innings,innings_second,notouts_second,avg_pp,avg_mo,avg_death,avg_first,avg_second,sr_pp,sr_mo,sr_death,sr_first,sr_second
A Ashish Reddy,23,2,6,8,193,280,36,18.67,145.08,0.0,0.0,2.0,15.0,16.0,5.0,6.0,1.0,0.0,61.0,41.0,5.0,0.0,214.0,146.0,22.0,8.0,166.0,113.0,13.0,6.0,114.0,80.0,10.0,2.0,5.0,12.2,15.29,23.71,14.25,83.33,148.78,146.58,146.9,142.5
A Badoni,11,2,1,3,130,161,54,20.12,123.85,1.0,0.0,0.0,7.0,11.0,1.0,6.0,2.0,1.0,59.0,58.0,6.0,3.0,101.0,66.0,7.0,3.0,106.0,86.0,5.0,1.0,55.0,44.0,6.0,2.0,1.0,19.67,25.25,26.5,13.75,16.67,101.72,153.03,123.26,125.0
A Chandila,2,0,2,2,7,4,4,0.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,57.14,57.14,0.0
A Chopra,6,0,0,0,71,53,24,8.83,74.65,0.0,0.0,0.0,0.0,7.0,27.0,39.0,5.0,2.0,25.0,30.0,3.0,1.0,1.0,2.0,1.0,0.0,51.0,68.0,5.0,0.0,2.0,3.0,1.0,0.0,9.0,12.5,1.0,10.2,2.0,69.23,83.33,50.0,75.0,66.67
A Choudhary,3,1,1,2,20,25,15,25.0,125.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,3.0,2.0,15.0,12.0,1.0,0.0,10.0,8.0,2.0,1.0,0.0,0.0,25.0,15.0,10.0,0.0,0.0,125.0,125.0,125.0
A Dananjaya,1,0,1,1,5,4,4,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,80.0,80.0,0.0
A Flintoff,3,0,1,1,53,62,24,31.0,116.98,0.0,0.0,0.0,2.0,5.0,14.0,13.0,1.0,0.0,23.0,23.0,2.0,1.0,25.0,17.0,2.0,1.0,22.0,13.0,1.0,0.0,40.0,40.0,2.0,0.0,14.0,23.0,25.0,22.0,20.0,107.69,100.0,147.06,169.23,100.0
A Kumble,17,9,5,14,47,35,8,11.67,74.47,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,34.0,42.0,17.0,14.0,11.0,15.0,7.0,5.0,24.0,32.0,10.0,9.0,0.0,1.0,11.33,5.5,24.0,0.0,20.0,80.95,73.33,75.0
A Manohar,7,1,0,1,75,108,43,18.0,144.0,0.0,0.0,2.0,3.0,14.0,12.0,12.0,1.0,0.0,47.0,31.0,2.0,0.0,49.0,32.0,6.0,1.0,81.0,55.0,4.0,0.0,27.0,20.0,3.0,1.0,12.0,23.5,9.8,20.25,13.5,100.0,151.61,153.12,147.27,135.0
A Mishra,56,16,9,25,389,362,31,11.68,93.06,0.0,0.0,2.0,5.0,29.0,1.0,5.0,1.0,0.0,114.0,151.0,17.0,12.0,247.0,233.0,50.0,24.0,145.0,162.0,26.0,9.0,217.0,227.0,30.0,16.0,1.0,22.8,9.5,8.53,15.5,20.0,75.5,106.01,89.51,95.59
A Mithun,8,1,2,3,26,34,11,6.8,130.77,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,15.0,12.0,3.0,2.0,19.0,14.0,6.0,2.0,8.0,5.0,3.0,2.0,26.0,21.0,5.0,1.0,0.0,15.0,4.75,8.0,6.5,0.0,125.0,135.71,160.0,123.81
A Mukund,2,0,0,0,22,19,19,9.5,86.36,0.0,0.0,0.0,0.0,1.0,14.0,15.0,1.0,0.0,5.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,21.0,1.0,0.0,0.0,1.0,1.0,0.0,14.0,5.0,0.0,19.0,0.0,93.33,83.33,0.0,90.48,0.0
A Nehra,22,6,9,15,62,41,22,5.86,66.13,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,62.0,22.0,15.0,6.0,18.0,12.0,9.0,35.0,44.0,10.0,6.0,0.0,0.0,5.86,2.0,8.75,0.0,0.0,66.13,33.33,79.55
