,bowl_innings,balls_bowled,runs_given,wickets,economy,bowl_avg,bowl_sr,BBI,3w,4w,5w,0w,pct_of_getting_wicket_each_match,runs_given_in_pp,balls_bowled_in_pp,wickets_taken_in_pp,runs_given_in_mo,balls_bowled_in_mo,wickets_taken_in_mo,runs_given_in_death,balls_bowled_in_death,wickets_taken_in_death,economy_in_pp,economy_in_mo,economy_in_death,bowl_avg_in_pp,bowl_avg_in_mo,bowl_avg_in_death,bowl_sr_in_pp,bowl_sr_in_mo,bowl_sr_in_death,runs_given_in_first_innings,balls_bowled_in_first_innings,wickets_taken_in_first_innings,runs_given_in_second_innings,balls_bowled_in_second_innings,wickets_taken_in_second_innings,economy_in_first_innings,economy_in_second_innings,bowl_avg_in_first_innings,bowl_avg_in_second_innings,bowl_sr_in_first_innings,bowl_sr_in_second_innings
A Ashish Reddy,20,262,396,18,9.07,22.0,14.56,3/25,1,0,0,6,70.0,20,6,0,209,155,7,167,101,11,20.0,8.09,9.92,0.0,29.86,15.18,0.0,22.14,9.18,145,95,7,251,167,11,9.16,9.02,20.71,22.82,13.57,15.18
A Badoni,2,12,11,2,5.5,5.5,6.0,1/5,0,0,0,0,100.0,0,0,0,11,12,2,0,0,0,0.0,5.5,0.0,0.0,5.5,0.0,0.0,6.0,0.0,5,6,1,6,6,1,5.0,6.0,5.0,6.0,6.0,6.0
A Chandila,12,234,242,11,6.21,22.0,21.27,4/13,0,1,0,6,50.0,137,144,10,99,84,1,6,6,0,5.71,7.07,6.0,13.7,99.0,0.0,14.4,84.0,0.0,142,120,3,100,114,8,7.1,5.26,47.33,12.5,40.0,14.25
A Choudhary,5,101,144,5,8.55,28.8,20.2,2/17,0,0,0,1,80.0,46,36,3,58,41,1,40,24,1,7.67,8.49,10.0,15.33,58.0,40.0,12.0,41.0,24.0,72,48,3,72,53,2,9.0,8.15,24.0,36.0,16.0,26.5
A Dananjaya,1,24,47,0,11.75,0.0,0.0,0/47,0,0,0,1,0.0,12,6,0,35,18,0,0,0,0,12.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,47,24,0,0.0,11.75,0.0,0.0,0.0,0.0
A Flintoff,3,66,105,2,9.55,52.5,33.0,1/11,0,0,0,1,66.67,21,12,0,26,30,1,58,24,1,10.5,5.2,14.5,0.0,26.0,58.0,0.0,30.0,24.0,94,48,1,11,18,1,11.75,3.67,94.0,11.0,48.0,18.0
A Kumble,42,965,1058,45,6.58,23.51,21.44,5/5,2,2,1,17,59.52,88,108,3,758,690,25,212,167,17,4.89,6.59,7.62,29.33,30.32,12.47,36.0,27.6,9.82,646,578,27,412,387,18,6.71,6.39,23.93,22.89,21.41,21.5
A Mishra,154,3245,3976,166,7.35,23.95,19.55,5/17,12,4,1,55,64.29,172,138,6,3020,2610,121,784,497,39,7.48,6.94,9.46,28.67,24.96,20.1,23.0,21.57,12.74,1836,1494,67,2140,1751,99,7.37,7.33,27.4,21.62,22.3,17.69
A Mithun,16,288,472,7,9.83,67.43,41.14,2/37,0,0,0,10,37.5,103,66,1,215,144,2,154,78,4,9.36,8.96,11.85,103.0,107.5,38.5,66.0,72.0,19.5,291,174,5,181,114,2,10.03,9.53,58.2,90.5,34.8,57.0
A Nehra,88,1908,2495,106,7.85,23.54,18.0,4/10,13,1,0,26,70.45,1366,1093,40,351,288,12,778,527,54,7.5,7.31,8.86,34.15,29.25,14.41,27.32,24.0,9.76,1281,967,59,1214,941,47,7.95,7.74,21.71,25.83,16.39,20.02
