PLAYER,NATIONALITY,TYPE,BASE PRICE
Rilee Rossouw,Overseas,Batter,20000000
Kane Williamson,Overseas,Batter,20000000
Sam Curran,Overseas,All-Rounder,20000000
Cameron Green,Overseas,All-Rounder,20000000
Jason Holder,Overseas,All-Rounder,20000000
Ben Stokes,Overseas,All-Rounder,20000000
Tom Banton,Overseas,Wicket-Keeper,20000000
Nicholas Pooran,Overseas,Wicket-Keeper,20000000
Phil Salt,Overseas,Wicket-Keeper,20000000
Chris Jordan,Overseas,Bowler,20000000
Adam Milne,Overseas,Bowler,20000000
Adil Rashid,Overseas,Bowler,20000000
Travis Head,Overseas,Batter,20000000
Rassie Van Der Dussen,Overseas,Batter,20000000
Jimmy Neesham,Overseas,All-Rounder,20000000
Chris Lynn,Overseas,Batter,20000000
Jamie Overton,Overseas,All-Rounder,20000000
Craig Overton,Overseas,All-Rounder,20000000
Tymal Mills,Overseas,Bowler,20000000
Harry Brook,Overseas,Batter,15000000
Shakib Al Hasan,Overseas,All-Rounder,15000000
Jhye Richardson,Overseas,Bowler,15000000
Adam Zampa,Overseas,Bowler,15000000
Will Jacks,Overseas,Batter,15000000
Dawid Malan,Overseas,Batter,15000000
Sherfane Rutherford,Overseas,Batter,15000000
Riley Meredith,Overseas,Bowler,15000000
Jason Roy,Overseas,Batter,15000000
Sean Abbott,Overseas,All-Rounder,15000000
Nathan Coulter-Nile,Overseas,Bowler,15000000
Mayank Agarwal,Indian,Batter,10000000
Joe Root,Overseas,Batter,10000000
Heinrich Klaasen,Overseas,Wicket-Keeper,10000000
Akeal Hosein,Overseas,Bowler,10000000
Mujeeb Rahman,Overseas,Bowler,10000000
Tabraiz Shamsi,Overseas,Bowler,10000000
Manish Pandey,Indian,Batter,10000000
Daryl Mitchell,Overseas,All-Rounder,10000000
Mohammad Nabi,Overseas,All-Rounder,10000000
Kyle Jamieson,Overseas,Bowler,10000000
Shai Hope,Overseas,Wicket-Keeper,10000000
Tom Latham,Overseas,Wicket-Keeper,10000000
Michael Bracewell,Overseas,All-Rounder,10000000
Andrew Tye,Overseas,Bowler,10000000
Luke Wood,Overseas,Bowler,10000000
David Wiese,Overseas,All-Rounder,10000000
Moises Henriques,Overseas,All-Rounder,10000000
Matt Henry,Overseas,Bowler,10000000
Roston Chase,Overseas,All-Rounder,10000000
Rahkeem Cornwall,Overseas,All-Rounder,10000000
Reece Topley,Overseas,Bowler,7500000
Wayne Parnell,Overseas,All-Rounder,7500000
Daniel Sams,Overseas,All-Rounder,7500000
Joshua Philippe,Overseas,Wicket-Keeper,7500000
Ish Sodhi,Overseas,Bowler,7500000
Tom Curran,Overseas,All-Rounder,7500000
Darcy Short,Overseas,All-Rounder,7500000
David Payne,Overseas,Bowler,7500000
Carlos Brathwaite,Overseas,All-Rounder,7500000
Ajinkya Rahane,Indian,Batter,5000000
Sikandar Raza,Overseas,All-Rounder,5000000
Odean Smith,Overseas,All-Rounder,5000000
Litton Das,Overseas,Wicket-Keeper,5000000
Kusal Mendis,Overseas,Wicket-Keeper,5000000
Ishant Sharma,Indian,Bowler,5000000
Jaydev Unadkat,Indian,Bowler,5000000
Mayank Markande,Indian,Bowler,5000000
Mandeep Singh,Indian,Batter,5000000
Paul Stirling,Overseas,Batter,5000000
Dasun Shanaka,Overseas,All-Rounder,5000000
Romario Shepherd,Overseas,All-Rounder,5000000
Taskin Ahmed,Overseas,Bowler,5000000
Dushmanta Chameera,Overseas,Bowler,5000000
Blessing Muzarabani,Overseas,Bowler,5000000
Sandeep Sharma,Indian,Bowler,5000000
Johnson Charles,Overseas,Wicket-Keeper,5000000
Andre Fletcher,Overseas,Wicket-Keeper,5000000
Lorcan Tucker,Overseas,Wicket-Keeper,5000000
Piyush Chawla,Indian,Bowler,5000000
Amit Mishra,Indian,Bowler,5000000
Shahbaz Nadeem,Indian,Bowler,5000000
Reeza Hendricks,Overseas,Batter,5000000
Christiaan Jonker,Overseas,Batter,5000000
Brandon King,Overseas,Batter,5000000
Karun Nair,Indian,Batter,5000000
Pathum Nissaanka,Overseas,Batter,5000000
Gurkeerat Singh,Indian,Batter,5000000
Harry Tector,Overseas,Batter,5000000
Najibullah Zadran,Overseas,Batter,5000000
Qais Ahmad,Overseas,All-Rounder,5000000
Charith Asalanka,Overseas,All-Rounder,5000000
Dominic Drakes,Overseas,All-Rounder,5000000
George Garton,Overseas,All-Rounder,5000000
Chamika Karunaratne,Overseas,All-Rounder,5000000
Sandeep Warrier,Indian,All-Rounder,5000000
Ben Dwarshuis,Overseas,Bowler,5000000
Richard Gleeson,Overseas,Bowler,5000000
Naveen Ul Haq,Overseas,Bowler,5000000
Lahiru Kumara,Overseas,Bowler,5000000
Joshua Little,Overseas,Bowler,5000000
Dilshan Madushanka,Overseas,Bowler,5000000
Mohit Sharma,Indian,Bowler,5000000
Billy Stanlake,Overseas,Bowler,5000000
Afif Hossain,Overseas,All-Rounder,5000000
Scott Kuggeleijn,Overseas,All-Rounder,5000000
Sisanda Magala,Overseas,All-Rounder,5000000
Dhananjaya Silva,Overseas,All-Rounder,5000000
Dunith Wellalage,Overseas,All-Rounder,5000000
Varun Aaron,Indian,Bowler,5000000
Sheldon Cottrel,Overseas,Bowler,5000000
Daryn Dupavillon,Overseas,Bowler,5000000
Dhawal Kulkarni,Indian,Bowler,5000000
Barinder Sran,Indian,Bowler,5000000
Glenton Stuurman,Overseas,Bowler,5000000
Rehan Ahmed,Overseas,All-Rounder,5000000
Fabian Allen,Overseas,All-Rounder,5000000
Karim Janat,Overseas,All-Rounder,5000000
Keshav Maharaj,Overseas,All-Rounder,5000000
Pawan Negi,Indian,All-Rounder,5000000
Keemo Paul,Overseas,All-Rounder,5000000
Shivam Mavi,Indian,Bowler,4000000
Will Smeed,Overseas,Batter,4000000
Jordan Thompson,Overseas,All-Rounder,4000000
Thomas Helm,Overseas,Bowler,4000000
James Fuller,Overseas,All-Rounder,4000000
Benny Howell,Overseas,All-Rounder,4000000
K.M. Asif,Indian,Bowler,3000000
Lance Morris,Overseas,Bowler,3000000
Apoorv Wankhade,Indian,Batter,3000000
Aniket Choudhary,Indian,Bowler,3000000
Shubham Khajuria,Indian,Batter,2000000
Rohan Kunnummal,Indian,Batter,2000000
Chethan L.R.,Indian,Batter,2000000
Shaik Rasheed,Indian,Batter,2000000
Anmolpreet Singh,Indian,Batter,2000000
Himmat Singh,Indian,Batter,2000000
Corbin Bosch,Overseas,All-Rounder,2000000
Priyam Garg,Indian,All-Rounder,2000000
Saurabh Kumar,Indian,All-Rounder,2000000
Vivrant Sharma,Indian,All-Rounder,2000000
Nishant Sindhu,Indian,All-Rounder,2000000
Sanvir Singh,Indian,All-Rounder,2000000
Shashank Singh,Indian,All-Rounder,2000000
Samarth Vyas,Indian,All-Rounder,2000000
K.S. Bharat,Indian,Wicket-Keeper,2000000
Mohammed Azharuddeen,Indian,Wicket-Keeper,2000000
Dinesh Bana,Indian,Wicket-Keeper,2000000
Abhimanyu Easwaran,Indian,Wicket-Keeper,2000000
N. Jagadeesan,Indian,Wicket-Keeper,2000000
Sumit Kumar,Indian,Wicket-Keeper,2000000
Upendra Singh Yadav,Indian,Wicket-Keeper,2000000
Vaibhav Arora,Indian,Bowler,2000000
Mukesh Kumar,Indian,Bowler,2000000
Yash Thakur,Indian,Bowler,2000000
Mujtaba Yousuf,Indian,Bowler,2000000
Murugan Ashwin,Indian,Bowler,2000000
Chintal Gandhi,Indian,Bowler,2000000
Shreyas Gopal,Indian,Bowler,2000000
S Midhun,Indian,Bowler,2000000
Izharulhuq Naveed,Overseas,Bowler,2000000
Himanshu Sharma,Indian,Bowler,2000000
Sachin Baby,Indian,Batter,2000000
Harpreet Bhatia,Indian,Batter,2000000
Ashwin Hebbar,Indian,Batter,2000000
Pukhraj Mann,Indian,Batter,2000000
Akshat Raghuwanshi,Indian,Batter,2000000
Himanshu Rana,Indian,Batter,2000000
Shoun Roger,Indian,Batter,2000000
Virat Singh,Indian,Batter,2000000
Manoj Bhandage,Indian,All-Rounder,2000000
Gerald Coetzee,Overseas,All-Rounder,2000000
Mayank Dagar,Indian,All-Rounder,2000000
Duan Jansen,Overseas,All-Rounder,2000000
